Data,Ryzyko_RF,Prawd_RF,Ryzyko_LSTM,Prawd_LSTM,Alert_Systemowy
2021-12-17,niskie,0.247,niskie,0.035,NIE
2021-12-18,niskie,0.385,niskie,0.106,NIE
2021-12-19,wysokie,0.684,niskie,0.428,TAK
2021-12-20,wysokie,0.695,średnie,0.634,TAK
2021-12-21,niskie,0.28,niskie,0.404,NIE
2021-12-22,niskie,0.256,niskie,0.227,NIE
2021-12-23,niskie,0.489,niskie,0.473,NIE
2021-12-24,wysokie,0.666,wysokie,0.661,TAK
2021-12-25,średnie,0.568,niskie,0.466,NIE
2021-12-26,niskie,0.301,niskie,0.133,NIE
2021-12-27,niskie,0.068,niskie,0.017,NIE
2021-12-28,niskie,0.195,niskie,0.039,NIE
2021-12-29,niskie,0.138,niskie,0.041,NIE
2021-12-30,niskie,0.179,niskie,0.005,NIE
2021-12-31,niskie,0.286,niskie,0.013,NIE
2022-01-01,średnie,0.561,niskie,0.019,NIE
2022-01-02,średnie,0.644,niskie,0.263,NIE
2022-01-03,średnie,0.519,średnie,0.56,NIE
2022-01-04,wysokie,0.652,wysokie,0.701,TAK
2022-01-05,średnie,0.532,wysokie,0.722,TAK
2022-01-06,wysokie,0.689,wysokie,0.916,TAK
2022-01-07,niskie,0.198,wysokie,0.758,TAK
2022-01-08,niskie,0.323,średnie,0.599,NIE
2022-01-09,niskie,0.249,niskie,0.343,NIE
2022-01-10,niskie,0.382,średnie,0.57,NIE
2022-01-11,niskie,0.263,niskie,0.284,NIE
2022-01-12,niskie,0.113,niskie,0.358,NIE
2022-01-13,niskie,0.335,niskie,0.464,NIE
2022-01-14,wysokie,0.718,wysokie,0.75,TAK
2022-01-15,średnie,0.573,wysokie,0.76,TAK
2022-01-16,niskie,0.386,wysokie,0.825,TAK
2022-01-17,wysokie,0.818,wysokie,0.909,TAK
2022-01-18,wysokie,0.72,wysokie,0.943,TAK
2022-01-19,niskie,0.434,wysokie,0.925,TAK
2022-01-20,średnie,0.645,wysokie,0.922,TAK
2022-01-21,średnie,0.617,wysokie,0.94,TAK
2022-01-22,wysokie,0.732,wysokie,0.945,TAK
2022-01-23,niskie,0.288,wysokie,0.762,TAK
2022-01-24,niskie,0.178,niskie,0.296,NIE
2022-01-25,niskie,0.211,niskie,0.331,NIE
2022-01-26,niskie,0.424,niskie,0.309,NIE
2022-01-27,wysokie,0.682,wysokie,0.672,TAK
2022-01-28,wysokie,0.889,wysokie,0.901,TAK
2022-01-29,wysokie,0.918,wysokie,0.972,TAK
2022-01-30,wysokie,0.922,wysokie,0.985,TAK
2022-01-31,wysokie,0.821,wysokie,0.985,TAK
2022-02-01,wysokie,0.822,wysokie,0.984,TAK
2022-02-02,wysokie,0.905,wysokie,0.987,TAK
2022-02-03,wysokie,0.873,wysokie,0.976,TAK
2022-02-04,wysokie,0.782,wysokie,0.93,TAK
2022-02-05,wysokie,0.912,wysokie,0.85,TAK
2022-02-06,wysokie,0.929,wysokie,0.899,TAK
2022-02-07,wysokie,0.903,wysokie,0.979,TAK
2022-02-08,wysokie,0.86,wysokie,0.963,TAK
2022-02-09,wysokie,0.654,wysokie,0.789,TAK
2022-02-10,wysokie,0.673,wysokie,0.803,TAK
2022-02-11,wysokie,0.851,wysokie,0.85,TAK
2022-02-12,wysokie,0.689,średnie,0.645,TAK
2022-02-13,niskie,0.473,średnie,0.638,NIE
2022-02-14,niskie,0.494,średnie,0.566,NIE
2022-02-15,średnie,0.636,średnie,0.592,NIE
2022-02-16,wysokie,0.79,wysokie,0.831,TAK
2022-02-17,wysokie,0.897,wysokie,0.893,TAK
2022-02-18,wysokie,0.925,wysokie,0.966,TAK
2022-02-19,wysokie,0.939,wysokie,0.983,TAK
2022-02-20,wysokie,0.96,wysokie,0.98,TAK
2022-02-21,wysokie,0.877,wysokie,0.973,TAK
2022-02-22,wysokie,0.947,wysokie,0.987,TAK
2022-02-23,wysokie,0.911,wysokie,0.975,TAK
2022-02-24,wysokie,0.667,wysokie,0.961,TAK
2022-02-25,wysokie,0.712,wysokie,0.961,TAK
2022-02-26,wysokie,0.686,wysokie,0.957,TAK
2022-02-27,średnie,0.542,wysokie,0.876,TAK
2022-02-28,niskie,0.424,wysokie,0.853,TAK
2022-03-01,niskie,0.269,wysokie,0.826,TAK
2022-03-02,średnie,0.565,wysokie,0.844,TAK
2022-03-03,średnie,0.526,wysokie,0.808,TAK
2022-03-04,średnie,0.566,wysokie,0.658,TAK
2022-03-05,niskie,0.113,niskie,0.087,NIE
2022-03-06,niskie,0.08,niskie,0.023,NIE
2022-03-07,niskie,0.11,niskie,0.007,NIE
2022-03-08,niskie,0.083,niskie,0.002,NIE
2022-03-09,niskie,0.106,niskie,0.001,NIE
2022-03-10,niskie,0.285,niskie,0.003,NIE
2022-03-11,niskie,0.156,niskie,0.008,NIE
2022-03-12,niskie,0.12,niskie,0.024,NIE
2022-03-13,niskie,0.159,niskie,0.041,NIE
2022-03-14,niskie,0.119,niskie,0.029,NIE
2022-03-15,niskie,0.111,niskie,0.044,NIE
2022-03-16,niskie,0.136,niskie,0.024,NIE
2022-03-17,niskie,0.11,niskie,0.009,NIE
2022-03-18,niskie,0.218,niskie,0.006,NIE
2022-03-19,niskie,0.16,niskie,0.004,NIE
2022-03-20,niskie,0.138,niskie,0.006,NIE
2022-03-21,niskie,0.106,niskie,0.014,NIE
2022-03-22,niskie,0.153,niskie,0.039,NIE
2022-03-23,niskie,0.221,niskie,0.081,NIE
2022-03-24,niskie,0.171,niskie,0.093,NIE
2022-03-25,niskie,0.112,niskie,0.06,NIE
2022-03-26,niskie,0.203,niskie,0.074,NIE
2022-03-27,niskie,0.189,niskie,0.061,NIE
2022-03-28,niskie,0.248,niskie,0.117,NIE
2022-03-29,niskie,0.214,niskie,0.176,NIE
2022-03-30,niskie,0.204,niskie,0.132,NIE
2022-03-31,niskie,0.076,niskie,0.039,NIE
2022-04-01,niskie,0.094,niskie,0.01,NIE
2022-04-02,niskie,0.098,niskie,0.002,NIE
2022-04-03,niskie,0.088,niskie,0.001,NIE
2022-04-04,niskie,0.238,niskie,0.004,NIE
2022-04-05,niskie,0.333,niskie,0.031,NIE
2022-04-06,niskie,0.26,niskie,0.016,NIE
2022-04-07,niskie,0.337,niskie,0.062,NIE
2022-04-08,niskie,0.225,niskie,0.094,NIE
2022-04-09,niskie,0.299,niskie,0.059,NIE
2022-04-10,niskie,0.258,niskie,0.063,NIE
2022-04-11,niskie,0.165,niskie,0.026,NIE
2022-04-12,niskie,0.113,niskie,0.024,NIE
2022-04-13,niskie,0.071,niskie,0.047,NIE
2022-04-14,niskie,0.028,niskie,0.068,NIE
2022-04-15,niskie,0.14,niskie,0.138,NIE
2022-04-16,niskie,0.19,niskie,0.138,NIE
2022-04-17,niskie,0.063,niskie,0.134,NIE
2022-04-18,niskie,0.119,niskie,0.207,NIE
2022-04-19,niskie,0.158,niskie,0.186,NIE
2022-04-20,niskie,0.054,niskie,0.084,NIE
2022-04-21,niskie,0.056,niskie,0.017,NIE
2022-04-22,niskie,0.02,niskie,0.005,NIE
2022-04-23,niskie,0.021,niskie,0.004,NIE
2022-04-24,niskie,0.035,niskie,0.002,NIE
2022-04-25,niskie,0.138,niskie,0.002,NIE
2022-04-26,niskie,0.05,niskie,0.001,NIE
2022-04-27,niskie,0.087,niskie,0.002,NIE
2022-04-28,niskie,0.094,niskie,0.003,NIE
2022-04-29,niskie,0.06,niskie,0.007,NIE
2022-04-30,niskie,0.032,niskie,0.009,NIE
2022-05-01,niskie,0.008,niskie,0.02,NIE
2022-05-02,niskie,0.058,niskie,0.041,NIE
2022-05-03,niskie,0.064,niskie,0.048,NIE
2022-05-04,niskie,0.058,niskie,0.017,NIE
2022-05-05,niskie,0.064,niskie,0.013,NIE
2022-05-06,niskie,0.025,niskie,0.006,NIE
2022-05-07,niskie,0.006,niskie,0.004,NIE
2022-05-08,niskie,0.056,niskie,0.006,NIE
2022-05-09,niskie,0.096,niskie,0.007,NIE
2022-05-10,niskie,0.187,niskie,0.036,NIE
2022-05-11,niskie,0.161,niskie,0.164,NIE
2022-05-12,niskie,0.171,niskie,0.176,NIE
2022-05-13,niskie,0.057,niskie,0.066,NIE
2022-05-14,niskie,0.076,niskie,0.027,NIE
2022-05-15,niskie,0.073,niskie,0.014,NIE
2022-05-16,niskie,0.012,niskie,0.007,NIE
2022-05-17,niskie,0.037,niskie,0.005,NIE
2022-05-18,niskie,0.032,niskie,0.007,NIE
2022-05-19,niskie,0.025,niskie,0.013,NIE
2022-05-20,niskie,0.06,niskie,0.047,NIE
