Data,ryzyko,prawdopodobienstwo,kierunek,epizod_rzeczywisty
2023-09-11,niskie,0.111,↑,0
2023-09-12,niskie,0.111,↓,0
2023-09-13,niskie,0.18,↑,0
2023-09-14,niskie,0.415,↑,0
2023-09-15,niskie,0.368,↓,0
2023-09-16,niskie,0.372,↑,0
2023-09-17,niskie,0.24,↓,0
2023-09-18,niskie,0.412,↑,0
2023-09-19,niskie,0.476,↑,0
2023-09-20,niskie,0.428,↓,0
2023-09-21,niskie,0.432,↑,0
2023-09-22,niskie,0.468,↑,0
2023-09-23,niskie,0.499,↑,0
2023-09-24,średnie,0.627,↑,0
2023-09-25,niskie,0.416,↓,0
2023-09-26,niskie,0.363,↓,0
2023-09-27,niskie,0.381,↑,0
2023-09-28,niskie,0.334,↓,0
2023-09-29,niskie,0.334,↓,0
2023-09-30,niskie,0.404,↑,0
2023-10-01,niskie,0.243,↓,0
2023-10-02,niskie,0.256,↑,0
2023-10-03,średnie,0.546,↑,1
2023-10-04,średnie,0.647,↑,1
2023-10-05,wysokie,0.681,↑,1
2023-10-06,wysokie,0.719,↑,1
2023-10-07,wysokie,0.814,↑,1
2023-10-08,wysokie,0.884,↑,1
2023-10-09,wysokie,0.784,↓,1
2023-10-10,średnie,0.645,↓,0
2023-10-11,wysokie,0.726,↑,0
2023-10-12,wysokie,0.763,↑,0
2023-10-13,wysokie,0.764,↑,1
2023-10-14,wysokie,0.819,↑,1
2023-10-15,wysokie,0.82,↑,1
2023-10-16,wysokie,0.852,↑,1
2023-10-17,wysokie,0.762,↓,1
2023-10-18,wysokie,0.684,↓,1
2023-10-19,średnie,0.635,↓,1
2023-10-20,średnie,0.649,↑,1
2023-10-21,wysokie,0.738,↑,1
2023-10-22,wysokie,0.672,↓,0
2023-10-23,średnie,0.516,↓,0
2023-10-24,niskie,0.432,↓,0
2023-10-25,wysokie,0.667,↑,0
2023-10-26,średnie,0.646,↓,0
2023-10-27,średnie,0.642,↓,0
2023-10-28,niskie,0.469,↓,0
2023-10-29,średnie,0.584,↑,0
2023-10-30,średnie,0.608,↑,0
2023-10-31,wysokie,0.73,↑,0
2023-11-01,średnie,0.606,↓,0
2023-11-02,wysokie,0.682,↑,0
2023-11-03,wysokie,0.817,↑,0
2023-11-04,wysokie,0.836,↑,0
2023-11-05,wysokie,0.878,↑,0
2023-11-06,wysokie,0.923,↑,0
2023-11-07,wysokie,0.864,↓,0
2023-11-08,wysokie,0.655,↓,0
2023-11-09,średnie,0.519,↓,0
2023-11-10,niskie,0.336,↓,0
2023-11-11,niskie,0.261,↓,0
2023-11-12,niskie,0.205,↓,0
2023-11-13,niskie,0.208,↑,0
2023-11-14,średnie,0.602,↑,0
2023-11-15,wysokie,0.769,↑,0
2023-11-16,wysokie,0.759,↓,0
2023-11-17,wysokie,0.723,↓,0
2023-11-18,średnie,0.605,↓,0
2023-11-19,wysokie,0.725,↑,0
2023-11-20,wysokie,0.664,↓,0
2023-11-21,średnie,0.585,↓,0
2023-11-22,niskie,0.284,↓,0
2023-11-23,wysokie,0.727,↑,0
2023-11-24,wysokie,0.824,↑,0
2023-11-25,wysokie,0.906,↑,1
2023-11-26,wysokie,0.854,↓,1
2023-11-27,wysokie,0.827,↓,0
2023-11-28,wysokie,0.749,↓,0
2023-11-29,niskie,0.467,↓,0
2023-11-30,niskie,0.061,↓,0
2023-12-01,niskie,0.017,↓,0
2023-12-02,niskie,0.03,↑,0
2023-12-03,niskie,0.047,↑,0
2023-12-04,niskie,0.018,↓,0
2023-12-05,niskie,0.011,↓,0
2023-12-06,niskie,0.008,↓,0
2023-12-07,niskie,0.005,↓,0
2023-12-08,niskie,0.008,↑,0
2023-12-09,niskie,0.025,↑,0
2023-12-10,niskie,0.036,↑,0
2023-12-11,niskie,0.125,↑,0
2023-12-12,niskie,0.142,↑,0
2023-12-13,niskie,0.13,↓,0
2023-12-14,niskie,0.318,↑,0
2023-12-15,niskie,0.234,↓,0
2023-12-16,niskie,0.165,↓,0
2023-12-17,niskie,0.298,↑,0
2023-12-18,niskie,0.422,↑,0
2023-12-19,wysokie,0.665,↑,0
2023-12-20,wysokie,0.845,↑,0
2023-12-21,wysokie,0.905,↑,0
2023-12-22,wysokie,0.948,↑,1
2023-12-23,wysokie,0.977,↑,1
2023-12-24,wysokie,0.979,↑,1
2023-12-25,wysokie,0.979,↓,1
2023-12-26,wysokie,0.964,↓,1
2023-12-27,wysokie,0.942,↓,1
2023-12-28,wysokie,0.862,↓,1
2023-12-29,wysokie,0.832,↓,1
2023-12-30,wysokie,0.868,↑,1
2023-12-31,wysokie,0.813,↓,1
2024-01-01,wysokie,0.76,↓,1
2024-01-02,wysokie,0.807,↑,1
2024-01-03,wysokie,0.865,↑,0
2024-01-04,wysokie,0.875,↑,1
2024-01-05,wysokie,0.848,↓,1
2024-01-06,wysokie,0.712,↓,0
2024-01-07,średnie,0.553,↓,0
2024-01-08,niskie,0.225,↓,0
2024-01-09,niskie,0.119,↓,0
2024-01-10,niskie,0.136,↑,0
2024-01-11,niskie,0.301,↑,0
2024-01-12,wysokie,0.692,↑,0
2024-01-13,wysokie,0.785,↑,0
2024-01-14,wysokie,0.83,↑,0
2024-01-15,wysokie,0.911,↑,1
2024-01-16,wysokie,0.93,↑,1
2024-01-17,wysokie,0.894,↓,0
2024-01-18,wysokie,0.896,↑,0
2024-01-19,wysokie,0.896,↓,0
2024-01-20,wysokie,0.854,↓,1
2024-01-21,wysokie,0.8,↓,0
2024-01-22,wysokie,0.849,↑,0
2024-01-23,wysokie,0.922,↑,0
2024-01-24,wysokie,0.916,↓,0
2024-01-25,wysokie,0.945,↑,1
2024-01-26,wysokie,0.947,↑,1
2024-01-27,wysokie,0.937,↓,1
2024-01-28,wysokie,0.904,↓,0
2024-01-29,wysokie,0.801,↓,0
2024-01-30,wysokie,0.797,↓,0
2024-01-31,wysokie,0.788,↓,0
2024-02-01,wysokie,0.767,↓,0
2024-02-02,wysokie,0.839,↑,1
2024-02-03,wysokie,0.769,↓,1
2024-02-04,wysokie,0.871,↑,1
2024-02-05,wysokie,0.871,↑,1
2024-02-06,wysokie,0.915,↑,1
2024-02-07,wysokie,0.937,↑,1
2024-02-08,wysokie,0.926,↓,1
2024-02-09,wysokie,0.929,↑,1
2024-02-10,wysokie,0.899,↓,1
2024-02-11,wysokie,0.847,↓,1
2024-02-12,wysokie,0.864,↑,1
2024-02-13,wysokie,0.819,↓,1
2024-02-14,średnie,0.512,↓,0
2024-02-15,średnie,0.549,↑,0
2024-02-16,średnie,0.578,↑,0
2024-02-17,wysokie,0.658,↑,0
2024-02-18,wysokie,0.662,↑,0
