Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2022-06-03,lato,niskie,0.1,cos_doy,spadek,0.1,cos_doy – models ocenia ryzyko wezbrania na 10%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2022-06-04,lato,niskie,0.057,cos_doy,spadek,0.057,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2022-06-05,lato,niskie,0.039,cos_doy,spadek,0.039,cos_doy – models ocenia ryzyko wezbrania na 4%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 4%.,0,0,0,0
2022-06-06,lato,niskie,0.018,cos_doy,spadek,0.018,cos_doy – models ocenia ryzyko wezbrania na 2%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2022-06-07,lato,niskie,0.045,cos_doy,wzrost,0.045,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-06-08,lato,niskie,0.028,cos_doy,spadek,0.028,cos_doy – models ocenia ryzyko wezbrania na 3%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 3%.,0,0,0,0
2022-06-09,lato,niskie,0.088,cos_doy,wzrost,0.088,cos_doy – models ocenia ryzyko wezbrania na 9%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 9%.,0,0,0,0
2022-06-10,lato,niskie,0.174,cos_doy,wzrost,0.174,cos_doy – models ocenia ryzyko wezbrania na 17%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 17%.,0,0,0,0
2022-06-11,lato,niskie,0.136,cos_doy,spadek,0.136,cos_doy – models ocenia ryzyko wezbrania na 14%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 14%.,0,0,0,0
2022-06-12,lato,niskie,0.058,cos_doy,spadek,0.058,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2022-06-13,lato,niskie,0.135,cos_doy,wzrost,0.135,cos_doy – models ocenia ryzyko wezbrania na 14%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 14%.,0,0,0,0
2022-06-14,lato,niskie,0.122,cos_doy,spadek,0.122,cos_doy – models ocenia ryzyko wezbrania na 12%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2022-06-15,lato,niskie,0.05,cos_doy,spadek,0.05,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-06-16,lato,niskie,0.059,cos_doy,wzrost,0.059,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2022-06-17,lato,niskie,0.021,cos_doy,spadek,0.021,cos_doy – models ocenia ryzyko wezbrania na 2%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 2%.,0,0,0,0
2022-06-18,lato,niskie,0.054,cos_doy,wzrost,0.054,cos_doy – models ocenia ryzyko wezbrania na 5%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 5%.,0,0,0,0
2022-06-19,lato,niskie,0.107,cos_doy,wzrost,0.107,cos_doy – models ocenia ryzyko wezbrania na 11%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 11%.,0,0,0,1
2022-06-20,lato,niskie,0.194,cos_doy,wzrost,0.194,cos_doy – models ocenia ryzyko wezbrania na 19%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2022-06-21,lato,niskie,0.233,cos_doy,wzrost,0.233,cos_doy – models ocenia ryzyko wezbrania na 23%. Kierunek wpływu: wzrost. Pewność (prawdopodobieństwo z RF): 23%.,0,0,0,0
2022-06-22,lato,niskie,0.135,cos_doy,spadek,0.135,cos_doy – models ocenia ryzyko wezbrania na 14%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 14%.,0,0,0,0
2022-06-23,lato,niskie,0.068,cos_doy,spadek,0.068,cos_doy – models ocenia ryzyko wezbrania na 7%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2022-06-24,lato,niskie,0.057,cos_doy,spadek,0.057,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2022-06-25,lato,niskie,0.055,cos_doy,spadek,0.055,cos_doy – models ocenia ryzyko wezbrania na 6%. Kierunek wpływu: spadek. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
