Data,sezon,ryzyko,prawdopodobienstwo,glowny_czynnik,kierunek,pewnosc,komunikat,epizod_rzeczywisty,epizod_Strzyza,epizod_Martwa_Wisla,epizod_Port_Polnocny
2024-09-20,jesien,niskie,0.032,cos_doy,↓,0.032,cos_doy – model ocenia ryzyko wezbrania na 3%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 3%.,0,0,0,0
2024-09-21,jesien,niskie,0.027,cos_doy,↓,0.027,cos_doy – model ocenia ryzyko wezbrania na 3%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 3%.,0,0,0,0
2024-09-22,jesien,niskie,0.061,cos_doy,↑,0.061,cos_doy – model ocenia ryzyko wezbrania na 6%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2024-09-23,jesien,niskie,0.155,cos_doy,↑,0.155,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-09-24,jesien,niskie,0.13,cos_doy,↓,0.13,cos_doy – model ocenia ryzyko wezbrania na 13%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2024-09-25,jesien,niskie,0.119,cos_doy,↓,0.119,cos_doy – model ocenia ryzyko wezbrania na 12%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2024-09-26,jesien,niskie,0.159,cos_doy,↑,0.159,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-09-27,jesien,niskie,0.154,cos_doy,↓,0.154,cos_doy – model ocenia ryzyko wezbrania na 15%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2024-09-28,jesien,niskie,0.277,cos_doy,↑,0.277,cos_doy – model ocenia ryzyko wezbrania na 28%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 28%.,0,0,0,0
2024-09-29,jesien,niskie,0.323,cos_doy,↑,0.323,cos_doy – model ocenia ryzyko wezbrania na 32%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 32%.,0,0,0,0
2024-09-30,jesien,niskie,0.15,cos_doy,↓,0.15,cos_doy – model ocenia ryzyko wezbrania na 15%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 15%.,0,0,0,0
2024-10-01,jesien,niskie,0.253,cos_doy,↑,0.253,cos_doy – model ocenia ryzyko wezbrania na 25%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 25%.,0,0,0,0
2024-10-02,jesien,niskie,0.189,cos_doy,↓,0.189,cos_doy – model ocenia ryzyko wezbrania na 19%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 19%.,0,0,0,0
2024-10-03,jesien,niskie,0.313,cos_doy,↑,0.313,cos_doy – model ocenia ryzyko wezbrania na 31%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 31%.,0,0,0,0
2024-10-04,jesien,niskie,0.456,cos_doy,↑,0.456,cos_doy – model ocenia ryzyko wezbrania na 46%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 46%.,0,0,0,0
2024-10-05,jesien,niskie,0.318,cos_doy,↓,0.318,cos_doy – model ocenia ryzyko wezbrania na 32%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 32%.,0,0,0,0
2024-10-06,jesien,niskie,0.257,cos_doy,↓,0.257,cos_doy – model ocenia ryzyko wezbrania na 26%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 26%.,0,0,0,0
2024-10-07,jesien,niskie,0.178,cos_doy,↓,0.178,cos_doy – model ocenia ryzyko wezbrania na 18%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 18%.,0,0,0,0
2024-10-08,jesien,niskie,0.117,cos_doy,↓,0.117,cos_doy – model ocenia ryzyko wezbrania na 12%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 12%.,0,0,0,0
2024-10-09,jesien,niskie,0.299,cos_doy,↑,0.299,cos_doy – model ocenia ryzyko wezbrania na 30%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 30%.,0,0,0,0
2024-10-10,jesien,niskie,0.305,cos_doy,↑,0.305,cos_doy – model ocenia ryzyko wezbrania na 31%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 31%.,0,0,0,0
2024-10-11,jesien,niskie,0.416,cos_doy,↑,0.416,cos_doy – model ocenia ryzyko wezbrania na 42%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 42%.,0,0,0,0
2024-10-12,jesien,niskie,0.275,cos_doy,↓,0.275,cos_doy – model ocenia ryzyko wezbrania na 27%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 27%.,0,0,0,0
2024-10-13,jesien,średnie,0.586,cos_doy,↑,0.586,cos_doy – model ocenia ryzyko wezbrania na 59%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 59%.,0,0,0,0
2024-10-14,jesien,niskie,0.461,cos_doy,↓,0.461,cos_doy – model ocenia ryzyko wezbrania na 46%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 46%.,0,0,0,0
2024-10-15,jesien,niskie,0.496,cos_doy,↑,0.496,cos_doy – model ocenia ryzyko wezbrania na 50%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 50%.,0,0,0,0
2024-10-16,jesien,niskie,0.278,cos_doy,↓,0.278,cos_doy – model ocenia ryzyko wezbrania na 28%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 28%.,0,0,0,0
2024-10-17,jesien,niskie,0.2,cos_doy,↓,0.2,cos_doy – model ocenia ryzyko wezbrania na 20%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 20%.,0,0,0,0
2024-10-18,jesien,niskie,0.103,cos_doy,↓,0.103,cos_doy – model ocenia ryzyko wezbrania na 10%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2024-10-19,jesien,niskie,0.134,cos_doy,↑,0.134,cos_doy – model ocenia ryzyko wezbrania na 13%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2024-10-20,jesien,niskie,0.128,cos_doy,↓,0.128,cos_doy – model ocenia ryzyko wezbrania na 13%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 13%.,0,0,0,0
2024-10-21,jesien,niskie,0.04,cos_doy,↓,0.04,cos_doy – model ocenia ryzyko wezbrania na 4%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 4%.,0,0,0,0
2024-10-22,jesien,niskie,0.102,cos_doy,↑,0.102,cos_doy – model ocenia ryzyko wezbrania na 10%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2024-10-23,jesien,niskie,0.207,cos_doy,↑,0.207,cos_doy – model ocenia ryzyko wezbrania na 21%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 21%.,0,0,0,0
2024-10-24,jesien,niskie,0.096,cos_doy,↓,0.096,cos_doy – model ocenia ryzyko wezbrania na 10%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2024-10-25,jesien,niskie,0.174,cos_doy,↑,0.174,cos_doy – model ocenia ryzyko wezbrania na 17%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 17%.,0,0,0,0
2024-10-26,jesien,niskie,0.065,cos_doy,↓,0.065,cos_doy – model ocenia ryzyko wezbrania na 6%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2024-10-27,jesien,niskie,0.096,cos_doy,↑,0.096,cos_doy – model ocenia ryzyko wezbrania na 10%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 10%.,0,0,0,0
2024-10-28,jesien,niskie,0.066,cos_doy,↓,0.066,cos_doy – model ocenia ryzyko wezbrania na 7%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 7%.,0,0,0,0
2024-10-29,jesien,niskie,0.063,cos_doy,↓,0.063,cos_doy – model ocenia ryzyko wezbrania na 6%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2024-10-30,jesien,niskie,0.064,cos_doy,↑,0.064,cos_doy – model ocenia ryzyko wezbrania na 6%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 6%.,0,0,0,0
2024-10-31,jesien,niskie,0.155,cos_doy,↑,0.155,cos_doy – model ocenia ryzyko wezbrania na 16%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 16%.,0,0,0,0
2024-11-01,jesien,średnie,0.512,cos_doy,↑,0.512,cos_doy – model ocenia ryzyko wezbrania na 51%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 51%.,1,1,1,1
2024-11-02,jesien,wysokie,0.719,cos_doy,↑,0.719,cos_doy – model ocenia ryzyko wezbrania na 72%. Kierunek wpływu: ↑. Pewność (prawdopodobieństwo z RF): 72%.,1,1,1,1
2024-11-03,jesien,średnie,0.623,cos_doy,↓,0.623,cos_doy – model ocenia ryzyko wezbrania na 62%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 62%.,1,1,1,1
2024-11-04,jesien,średnie,0.56,cos_doy,↓,0.56,cos_doy – model ocenia ryzyko wezbrania na 56%. Kierunek wpływu: ↓. Pewność (prawdopodobieństwo z RF): 56%.,1,1,1,1
